Epoch 304/1000, Loss: 0.0491267095223583, Accuracy: 0.9956
Epoch 305/1000, Loss: 0.045470889465048396, Accuracy: 0.9967
Epoch 306/1000, Loss: 0.04282295813077483, Accuracy: 0.9967
Epoch 307/1000, Loss: 0.04119431304520574, Accuracy: 0.9978
Epoch 308/1000, Loss: 0.040975656874220945, Accuracy: 0.9967
Epoch 309/1000, Loss: 0.040677383831092, Accuracy: 0.9978
Epoch 310/1000, Loss: 0.03955503193468883, Accuracy: 0.9945
Epoch 311/1000, Loss: 0.03925957977129468, Accuracy: 0.9945
Epoch 312/1000, Loss: 0.0396664918496691, Accuracy: 0.9956
Epoch 313/1000, Loss: 0.03666801853426572, Accuracy: 0.9989
Epoch 314/1000, Loss: 0.037142396165892995, Accuracy: 0.9956
Epoch 315/1000, Loss: 0.0393843902596112, Accuracy: 0.9956
Epoch 316/1000, Loss: 0.035532871582384766, Accuracy: 0.9978
Epoch 317/1000, Loss: 0.03648512341595929, Accuracy: 0.9967
Epoch 318/1000, Loss: 0.03635357214330599, Accuracy: 0.9978
Epoch 319/1000, Loss: 0.0367431260388473, Accuracy: 0.9967
Epoch 320/1000, Loss: 0.03559066013208237, Accuracy: 0.9945
Epoch 321/1000, Loss: 0.03522030071451746, Accuracy: 0.9978
Epoch 322/1000, Loss: 0.033395082593478, Accuracy: 0.9978
Epoch 323/1000, Loss: 0.03694479055060395, Accuracy: 0.9967
Epoch 324/1000, Loss: 0.03620295226573944, Accuracy: 0.9967
Epoch 325/1000, Loss: 0.03820865003970163, Accuracy: 0.9945
Epoch 326/1000, Loss: 0.03823111241619135, Accuracy: 0.9967
Epoch 327/1000, Loss: 0.034723300294115626, Accuracy: 0.9989
Epoch 328/1000, Loss: 0.03194920635172006, Accuracy: 0.9978
Epoch 329/1000, Loss: 0.033193653577874446, Accuracy: 0.9967
Epoch 330/1000, Loss: 0.03012483448175521, Accuracy: 0.9989
Epoch 331/1000, Loss: 0.03128334138028581, Accuracy: 0.9967
Epoch 332/1000, Loss: 0.02914398950364055, Accuracy: 0.9989
Epoch 333/1000, Loss: 0.029777400259827745, Accuracy: 0.9978
Epoch 334/1000, Loss: 0.03020404407690311, Accuracy: 0.9967
Epoch 335/1000, Loss: 0.03159987168579266, Accuracy: 0.9967
Epoch 336/1000, Loss: 0.030035973622881133, Accuracy: 0.9989
Epoch 337/1000, Loss: 0.03115791120919688, Accuracy: 0.9978
Epoch 338/1000, Loss: 0.029516657011519218, Accuracy: 0.9978
Epoch 339/1000, Loss: 0.027696578474394207, Accuracy: 0.9967
Epoch 340/1000, Loss: 0.028785191925949062, Accuracy: 0.9967
Epoch 341/1000, Loss: 0.02652209117237864, Accuracy: 0.9967
Epoch 342/1000, Loss: 0.028728319332003593, Accuracy: 0.9978
Epoch 343/1000, Loss: 0.02822872347615916, Accuracy: 0.9989
Epoch 344/1000, Loss: 0.02726349995696339, Accuracy: 0.9978
Epoch 345/1000, Loss: 0.02890563309834949, Accuracy: 0.9967
Epoch 346/1000, Loss: 0.02871499820772944, Accuracy: 0.9989
Epoch 347/1000, Loss: 0.029321831233542543, Accuracy: 0.9978
Epoch 348/1000, Loss: 0.030221908867102246, Accuracy: 0.9967
Epoch 349/1000, Loss: 0.030547375309056247, Accuracy: 0.9956
Epoch 350/1000, Loss: 0.032588237800217905, Accuracy: 0.9967
